Unnamed: 0,rating,review,clean_review
0,5,nice,nice
1,5,"best biryani , so supportive staff of outlet , personalize my order on call as I say. full Paisa vasool ",best biryani supportive staff outlet personalize order call say full paisa vasool
2,4,delivery boy was very decent and supportive.👌👍,delivery boy decent supportive
3,1,"worst biryani i have tasted in my life, half of the biryani is in dustbin. ",worst biryani tasted life half biryani dustbin
4,5,all food is good and tasty . will order again and lots more to explore in bawarchi's menu. ,food good tasty order lots explore bawarchis menu
5,5,shandar zabardast zindabad .. good going bawarchi keep it up ,shandar zabardast zindabad good going bawarchi keep
6,5,overall good experience . will order again,overall good experience order
7,1,good but cold of food,good cold food
8,5,tasty food . homestyle tasty prepration. ,tasty food homestyle tasty prepration
9,5,loved it . 5/5 . ,loved
10,4,"full paisa vasool , taste me best Bawarchi aur Everest . .. ",full paisa vasool taste best bawarchi aur everest
11,5,"good taste , authentic punjabi style matar paneer . feels good to have such food in surat .",good taste authentic punjabi style matar paneer feels good food surat
12,5,very tasty authentic food .. ,tasty authentic food
13,5,superb tasty asli dilli wala flavour,superb tasty asli dilli wala flavour
14,5,yummiest manchurian fried rice i have ever had in city . authentic chinese taste. must order once ,yummiest manchurian fried rice ever city authentic chinese taste must order
15,5,veey tasty. . order again nd again,veey tasty order nd
16,1,i have ordered Manchurian fried rice but instead I got only simple fried rice. Feeling like I am cheated by bawarchi restaurant.,ordered manchurian fried rice instead got simple fried rice feeling like cheated bawarchi restaurant
17,1,very bad not properly cooked,bad properly cooked
18,5,delicious ,delicious
19,5,chinese cheese kulcha . good fusion of chinsese with punjabi cuisine.  accomplish with dal makhni and yummy butter milk must order ,chinese cheese kulcha good fusion chinsese punjabi cuisine accomplish dal makhni yummy butter milk must order
20,5,"tasteis best , zabardast mouthwatering . must order again ",tasteis best zabardast mouthwatering must order
21,1,Taste less nd took 55 min to deliver the order,taste less nd took min deliver order
22,5,I have tried a lot of dishes from bawarchi and choosing the best between them is a really tough task as All dishes are AWESOME.,tried lot dishes bawarchi choosing best really tough task dishes awesome
23,5,bawarchi satisfied there customer needs🤩,bawarchi satisfied customer needs
24,5,Too Helping nature of resturent owners,helping nature resturent owners
25,5,"i have tried many items from bawarchi , these ppl never disappoint me ..keep it up ",tried many items bawarchi ppl never disappoint keep
26,5,"Awesome experience guys...these people really care about their customer satisfaction...try and order, I am sure u will love the taste...",awesome experience guysthese people really care customer satisfactiontry order sure u love taste
27,5,Something good for cocktail party... As the restaurant has mentioned... Good... Quantity was good too... Lage raho ,something good cocktail party restaurant mentioned good quantity good lage raho
28,5,superb taste really supreme thali in taste and quantity,superb taste really supreme thali taste quantity
29,5,Free pizza was not given to me. Pizza hut does fraud till customer's condition is fulfilled.,free pizza given pizza hut fraud till customers condition fulfilled
30,3,its good ,good
31,1,"free san francisco margarita pizza, for orders above 799  was not delivered, though order was above 1000.   ",free san francisco margarita pizza orders delivered though order
32,1,pizza base is not baked properly... it's not crunchy..... then la pinos s pizza is baked properly,pizza base baked properly crunchy la pinos pizza baked properly
33,5,Good experience.,good experience
34,2,On time!,time
35,5,Very bad. Waste of money Pizza Hut no more like before very bad quality,bad waste money pizza hut like bad quality
36,5,pizza got cold........waste of money ,pizza got coldwaste money
37,5,rotten pizza,rotten pizza
38,1,"had ordered a mushroom and corn pizza, got only a corn one",ordered mushroom corn pizza got corn one
39,1,mast,good
40,2,food is not hot,food hot
41,1,osm,osm
42,1,no topping they have served only bread,topping served bread
43,5,Pizza hut vari bad bro😡😡😡😡😡<br/>All pablik pizzz not send pizz hat oder <br/>Vari vari bad test,pizza hut vari bad brobrall pablik pizzz send pizz hat oder brvari vari bad test
44,1,I placed a complete different order and received complete different items not fair !!!!!! Worst placements,placed complete different order received complete different items fair worst placements
45,1,so bad,bad
46,1,their was a hair in my order horrible didn't expect this from pizza hut...,hair order horrible didnt expect pizza hut
47,1,"Worst pizza ever<br/>No cheese , no taste <br/>Just poured some liquid cheese which was pathetic n too salty",worst pizza everbrno cheese taste brjust poured liquid cheese pathetic n salty
48,1,only cool pizza no socsh,cool pizza socsh
49,2,1 corn pizza is missing in only vetted 3 pizza out of 4,corn pizza missing vetted pizza
50,1,quality not much good and quantity  are less ,quality much good quantity less
51,2,Was not that good,good
52,1,nice 👍,nice
53,5,There is no ketchup,ketchup
54,1,really horrible horrible....I couldn't even eat ,really horrible horriblei couldnt even eat
55,3,I can't receive the dip....very bad🤷,cant receive dipvery bad
56,2,only 2 chili flakes send by you and not provided origon masala with Pizza...and if possible please provide 3-4 Tomato sauce pauch with Pizza,chili flakes send provided origon masala pizzaand possible please provide tomato sauce pauch pizza
57,1,there were no ketchup how to eat...dry pizza can't consume ,ketchup eatdry pizza cant consume
58,3,good ,good
59,1,The phone number was not working to edit the instructions,phone number working edit instructions
60,2,"do complete care of the order and send to customer very properly,outlet was not even having the oragano,<br/>very disappointing,<br/>moving out to eat something great as today's experience was hilarious and can't even trust more service of zomato",complete care order send customer properlyoutlet even oraganobrvery disappointingbrmoving eat something great todays experience hilarious cant even trust service zomato
61,5,HAD GIVEN VERY VERY VERY VERY LESS CHILLI FLAKES AND NO OREGANO AT ALL VERY DISSAPOINTED,given less chilli flakes oregano dissapointed
